"featureNames","featureDescriptions"
"c1_freqG17","For sites of class 1: Frequency of guanine at position 17"
"c1_freqG18","For sites of class 1: Frequency of guanine at position 18"
"c1_freqG19","For sites of class 1: Frequency of guanine at position 19"
"c1_freqG20","For sites of class 1: Frequency of guanine at position 20"
"c1_freqG21","For sites of class 1: Frequency of guanine at position 21"
"c1_freqG22","For sites of class 1: Frequency of guanine at position 22"
"c1_freqG23","For sites of class 1: Frequency of guanine at position 23"
"c1_freqG24","For sites of class 1: Frequency of guanine at position 24"
"c1_freqG25","For sites of class 1: Frequency of guanine at position 25"
"c1_freqG26","For sites of class 1: Frequency of guanine at position 26"
"c1_freqG27","For sites of class 1: Frequency of guanine at position 27"
"c1_freqG28","For sites of class 1: Frequency of guanine at position 28"
"c1_freqG29","For sites of class 1: Frequency of guanine at position 29"
"c1_freqG30","For sites of class 1: Frequency of guanine at position 30"
"c2_freqA-10","For sites of class 2: Frequency of adenine at position -10"
"c2_freqA-9","For sites of class 2: Frequency of adenine at position -9"
"c2_freqA-8","For sites of class 2: Frequency of adenine at position -8"
"c2_freqA-7","For sites of class 2: Frequency of adenine at position -7"
"c2_freqA-6","For sites of class 2: Frequency of adenine at position -6"
"c2_freqA-5","For sites of class 2: Frequency of adenine at position -5"
"c2_freqA-4","For sites of class 2: Frequency of adenine at position -4"
"c2_freqA-3","For sites of class 2: Frequency of adenine at position -3"
"c2_freqA-2","For sites of class 2: Frequency of adenine at position -2"
"c2_freqA-1","For sites of class 2: Frequency of adenine at position -1"
"c2_freqA1","For sites of class 2: Frequency of adenine at position 1"
"c2_freqA2","For sites of class 2: Frequency of adenine at position 2"
"c2_freqA3","For sites of class 2: Frequency of adenine at position 3"
"c2_freqA4","For sites of class 2: Frequency of adenine at position 4"
"c2_freqA5","For sites of class 2: Frequency of adenine at position 5"
"c2_freqA6","For sites of class 2: Frequency of adenine at position 6"
"c2_freqA7","For sites of class 2: Frequency of adenine at position 7"
"c2_freqA8","For sites of class 2: Frequency of adenine at position 8"
"c2_freqA9","For sites of class 2: Frequency of adenine at position 9"
"c2_freqA10","For sites of class 2: Frequency of adenine at position 10"
"c2_freqA11","For sites of class 2: Frequency of adenine at position 11"
